7zip 25.01-1
snappy 1.2.2-2
sndio 1.10.0-1
solaar 1.1.16-1
solid 6.19.0-1
sonnet 6.19.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.16.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
spotify 1:1.2.74.477-2
sqlite 3.50.4-2
sratom 0.6.18-1
srt 1.5.4-1
starship 1.23.0-1
steam 1.0.0.85-1
sudo 1.9.17.p2-1
sushi 46.0-2
svt-av1 3.1.2-1
swaybg 1.2.1-1
swayosd 0.2.1-1
syndication 6.19.0-1
system-config-printer 1.5.18-5
systemd 258.1-1
systemd-libs 258.1-1
systemd-sysvcompat 258.1-1
taglib 2.1.1-1
tailscale 1.90.2-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.14-1
teams 1.5.00.23861-1
telegram-desktop 6.2.4-1
tevent 1:0.17.1-1
texinfo 7.2-1
timeshift 25.07.7-1
timeshift-autosnap 0.9-1
tinysparql 3.10.1-1
tldr 3.4.3-2
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.10-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
typora 1.12.2-1
tzdata 2025b-1
tzupdate 3.1.0-1
uchardet 0.0.8-3
udisks2 2.10.2-1
ufw 0.36.2-5
ufw-docker 250710-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.90.10-1
usbutils 019-1
uthash 2.3.0-2
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
uwsm 0.24.1-1
v4l-utils 1.32.0-1
vapoursynth 72-1
vid.stab 1.1.1-2
visual-studio-code-bin 1.105.1-1
vmaf 3.0.0-1
volume_key 0.3.12-11
vte-common 0.82.1-1
vte3 0.82.1-1
vulkan-icd-loader 1.4.328.1-1
vulkan-tools 1.4.328.1-1
walker 2.6.2-1
waybar 0.14.0-3
wayfreeze 0.1.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk-4.1 2.50.1-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-2
which 2.23-1
whois 5.6.5-1
wiremix 0.7.0-1
wireplumber 0.5.12-1
wl-clip-persist 0.5.0-1
wl-clipboard 1:2.2.1-3
woff2 1.0.2-6
woff2-font-awesome 7.1.0-1
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 2.8.13-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.46-1
xmlsec 1.3.7-2
xmlstarlet 1.6.1-6
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xhost 1.0.10-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xournalpp 1.2.7-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yaru-icon-theme 25.10.2-1
yay 12.5.2-2
youtube-music-bin 3.11.0-3
yyjson 0.12.0-1
zed 0.209.5-1
zen-browser-bin 1.17.3b-1
zenity 4.2.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsh 5.9-5
zsh-history-search-multi-word-git r318.c4dcddc-1
zstd 1.5.7-2
zxing-cpp 2.3.0-5
